classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,1)",1,0.9845,0.9544,0.9148,10.9,9,13,0.9455,0.8627,2.7383
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,2)",2,0.9454,0.8959,0.8177,10.7,9,13,0.9455,0.86,2.764
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,3)",3,0.9394,0.893,0.8137,10.5,8,13,0.9383,0.8933,2.6717
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,4)",4,0.9483,0.9015,0.826,10.5333,8,13,0.9398,0.8813,2.5069
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,5)",5,0.9505,0.9108,0.8425,11.0667,9,13,0.9405,0.8867,2.7718
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,6)",6,0.9259,0.8746,0.7813,10.6,8,13,0.9405,0.88,3.0086
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,7)",7,0.9271,0.8883,0.8031,10.6667,9,13,0.9371,0.8813,2.9281
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,8)",8,0.9336,0.8785,0.7881,10.8,7,13,0.9393,0.8707,2.9363
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,9)",9,0.8777,0.8203,0.7037,10.2,8,14,0.94,0.872,3.0048
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,10)",10,0.9444,0.8594,0.7547,10.7,7,14,0.9407,0.8827,2.9645
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,12)",12,0.9047,0.8413,0.7313,10.5333,7,13,0.9369,0.8933,2.9146
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,14)",14,0.8828,0.8234,0.7063,10.3667,8,13,0.9383,0.8893,3.0403
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,16)",16,0.9167,0.8375,0.7242,10.4815,8,13,0.9349,0.9037,3.1737
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,18)",18,0.8946,0.8073,0.6792,10.2917,6,13,0.9333,0.9067,2.6673
1_CPL_C06 (GenetClassifier(C=0.6)),Liver,"trains-p-diff(140,20)",20,0.848,0.7834,0.6518,10.0833,8,13,0.9351,0.9233,2.6565
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,1)",1,0.9552,0.8708,0.7844,3.8,3,5,0.7047,0.6083,0.1997
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,2)",2,0.953,0.8686,0.7833,4.2333,3,7,0.708,0.6028,0.208
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,3)",3,0.882,0.7979,0.7101,4.0333,3,6,0.7013,0.5931,0.2355
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,4)",4,0.9222,0.7822,0.6668,4.0667,3,6,0.704,0.6278,0.2092
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,5)",5,0.902,0.7633,0.64,4.1667,3,6,0.699,0.6208,0.2098
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,6)",6,0.8509,0.7627,0.6501,3.8667,2,6,0.7027,0.6444,0.203
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,7)",7,0.9365,0.784,0.6695,4.1667,2,8,0.703,0.6347,0.2044
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,8)",8,0.8273,0.7054,0.575,4.0667,3,7,0.6983,0.6403,0.2116
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,9)",9,0.8684,0.7279,0.5874,4.0,2,6,0.704,0.6417,0.2111
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,10)",10,0.7638,0.631,0.4889,4.4333,2,8,0.6967,0.6847,0.2127
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,12)",12,0.7569,0.6132,0.4709,4.5926,2,8,0.707,0.6852,0.2166
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,14)",14,0.7391,0.6194,0.4739,4.25,3,6,0.7025,0.691,0.221
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,16)",16,0.72,0.5967,0.4396,4.5714,2,6,0.7095,0.6825,0.2314
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,18)",18,0.7522,0.625,0.4684,4.2778,2,7,0.71,0.6921,0.207
1_CPL_C06 (GenetClassifier(C=0.6)),Prostate,"trains-p-diff(100,20)",20,0.6855,0.5698,0.4244,4.2778,3,7,0.7067,0.6852,0.2206
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,1)",1,0.9507,0.923,0.8662,11.2,7,14,0.8511,0.8783,2.3531
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,2)",2,0.9188,0.8752,0.79,11.0667,7,14,0.8539,0.8652,2.4144
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,3)",3,0.867,0.824,0.7157,11.1,7,16,0.8553,0.8638,2.1242
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,4)",4,0.8596,0.7877,0.6661,10.7333,6,15,0.8556,0.8594,2.133
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,5)",5,0.7951,0.7294,0.5964,11.1667,7,15,0.8578,0.8464,2.236
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,6)",6,0.8002,0.7372,0.5923,10.3333,7,15,0.86,0.8435,2.2928
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,7)",7,0.8307,0.7446,0.6037,10.6333,6,16,0.8592,0.8362,2.1648
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,8)",8,0.8129,0.7487,0.6131,10.8,8,14,0.8617,0.8333,2.3378
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,9)",9,0.7708,0.6901,0.5392,10.6,5,15,0.8603,0.8377,2.4158
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,10)",10,0.7555,0.7007,0.5508,11.0,8,16,0.8592,0.8333,2.3559
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,12)",12,0.7062,0.63,0.4661,11.0333,5,15,0.8578,0.8478,2.47
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,14)",14,0.6599,0.5977,0.4365,10.7407,7,15,0.8586,0.8454,2.418
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,16)",16,0.6674,0.588,0.4239,11.4583,7,16,0.859,0.846,2.3414
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,18)",18,0.6717,0.5952,0.4358,11.4762,8,15,0.8544,0.8613,2.5094
1_CPL_C06 (GenetClassifier(C=0.6)),Renal,"trains-p-diff(120,20)",20,0.6786,0.5969,0.4326,11.0,8,15,0.8563,0.8613,2.6507
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,1)",1,0.9505,0.9197,0.8621,8.3,7,10,0.8912,0.8681,1.0506
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,2)",2,0.7803,0.715,0.5792,8.3,6,11,0.8958,0.8652,0.9536
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,3)",3,0.809,0.7401,0.5994,8.7667,6,12,0.8942,0.871,1.0088
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,4)",4,0.8098,0.7486,0.6221,8.3,6,11,0.8992,0.8594,0.9665
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,5)",5,0.7902,0.7251,0.5852,8.6,6,12,0.8987,0.8594,1.0016
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,6)",6,0.7536,0.6882,0.5385,8.4,6,11,0.9012,0.8696,0.9661
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,7)",7,0.7071,0.6406,0.4851,8.8667,5,12,0.8992,0.8522,1.0079
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,8)",8,0.7164,0.6738,0.5291,8.1667,5,11,0.9021,0.8739,0.892
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,9)",9,0.724,0.6458,0.4908,8.1852,5,11,0.9032,0.8728,0.9061
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,10)",10,0.6995,0.6335,0.4803,8.1481,6,12,0.8972,0.8776,0.9105
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,12)",12,0.66,0.5984,0.4436,8.1905,6,11,0.8905,0.9027,0.9423
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,14)",14,0.6192,0.5758,0.4158,7.6111,6,9,0.8958,0.8599,0.8673
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,16)",16,0.6928,0.6247,0.4674,8.4444,5,11,0.8917,0.9082,0.9154
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,18)",18,0.602,0.5286,0.3705,8.0667,6,11,0.8875,0.8841,0.8972
1_CPL_C06 (GenetClassifier(C=0.6)),Throat,"trains-p-diff(80,20)",20,0.6487,0.5813,0.4167,7.9333,5,11,0.8917,0.8696,0.9044
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,1)",1,0.9151,0.872,0.7814,14.9,11,21,0.8427,0.808,4.7189
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,2)",2,0.8809,0.8386,0.7287,14.9333,12,20,0.8404,0.8207,4.6801
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,3)",3,0.8746,0.8281,0.713,14.6667,11,20,0.8403,0.8161,4.8144
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,4)",4,0.8369,0.7963,0.6667,15.2667,11,20,0.8406,0.8138,4.8631
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,5)",5,0.8439,0.7986,0.6719,16.0667,11,22,0.8404,0.8299,5.0534
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,6)",6,0.8235,0.7598,0.6182,15.4667,10,23,0.8391,0.8529,5.0732
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,7)",7,0.7918,0.742,0.5949,15.6333,11,20,0.8397,0.854,5.0269
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,8)",8,0.8048,0.7373,0.5899,15.4,11,21,0.8404,0.8632,5.2539
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,9)",9,0.7741,0.7171,0.5644,15.6333,11,22,0.8406,0.8701,6.4493
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,10)",10,0.7429,0.6889,0.5354,15.0,10,19,0.8405,0.8517,5.1764
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,12)",12,0.7353,0.6736,0.5132,15.2,10,22,0.8376,0.8437,5.1507
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,14)",14,0.7147,0.6536,0.492,15.5667,11,21,0.8335,0.8483,5.4525
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,16)",16,0.6945,0.6168,0.4559,14.5667,9,19,0.8358,0.8483,5.2187
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,18)",18,0.6774,0.6169,0.4518,14.9333,11,21,0.8371,0.8471,5.4362
2_CPL_C08 (GenetClassifier(C=0.8)),Breast,"trains-p-diff(260,20)",20,0.6813,0.6263,0.4618,15.7333,10,21,0.8383,0.8632,5.5866
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,1)",1,0.9855,0.9715,0.9498,14.8667,13,17,0.998,1.0,4.4075
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,2)",2,0.9135,0.8832,0.8088,15.1,13,18,0.9986,0.9972,4.135
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,3)",3,0.8916,0.8536,0.7582,15.6333,13,19,0.9986,1.0,4.2826
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,4)",4,0.8394,0.8,0.6776,15.4,13,19,0.9992,0.9986,4.1395
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,5)",5,0.8461,0.8184,0.7036,15.4667,12,20,0.9984,0.9986,4.2112
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,6)",6,0.8503,0.809,0.7012,15.9333,13,20,0.9988,1.0,4.5069
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,7)",7,0.8136,0.7729,0.6422,15.6667,12,19,0.999,0.9986,4.5789
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,8)",8,0.7688,0.7288,0.5811,16.1667,13,19,0.9994,0.9972,4.1274
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,9)",9,0.7709,0.7433,0.6,15.4333,13,19,1.0,0.9972,3.8357
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,10)",10,0.7779,0.731,0.5844,16.5333,11,20,0.9998,0.9986,3.9161
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,12)",12,0.7331,0.6997,0.5495,16.6,14,19,0.9998,0.9958,4.1622
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,14)",14,0.7347,0.6868,0.5325,16.2,11,19,1.0,0.9958,3.9887
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,16)",16,0.741,0.7023,0.5493,16.2,13,18,0.9998,0.9958,4.2167
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,18)",18,0.6863,0.6523,0.4956,16.0,13,20,1.0,0.9958,4.3472
2_CPL_C08 (GenetClassifier(C=0.8)),Colorectal,"trains-p-diff(170,20)",20,0.7227,0.6776,0.5216,16.0,14,20,1.0,0.9954,4.4652
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,1)",1,0.9275,0.9077,0.8449,15.2667,13,17,1.0,1.0,2.7471
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,2)",2,0.9355,0.9092,0.8425,15.1,12,17,1.0,1.0,2.4632
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,3)",3,0.8501,0.8113,0.6946,16.6333,11,20,1.0,0.9984,2.6532
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,4)",4,0.8362,0.8069,0.6896,16.7667,14,21,1.0,1.0,2.7914
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,5)",5,0.7703,0.7224,0.5707,16.8,11,21,1.0,0.9968,2.5556
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,6)",6,0.7167,0.6744,0.5173,16.7333,12,22,1.0,0.9937,2.7514
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,7)",7,0.7585,0.7051,0.5495,16.4333,11,20,0.9996,0.9984,2.6453
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,8)",8,0.7262,0.6912,0.5339,17.6,15,20,0.9996,0.9968,2.5513
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,9)",9,0.7039,0.66,0.499,17.3333,13,20,1.0,0.9982,2.3758
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,10)",10,0.6899,0.6463,0.4823,16.8519,12,21,1.0,0.9982,2.3485
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,12)",12,0.6383,0.6075,0.4435,17.1905,14,20,1.0,0.9932,2.317
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,14)",14,0.6506,0.6342,0.4739,17.9444,16,19,1.0,0.9947,2.4533
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,16)",16,0.6586,0.6073,0.4396,18.1667,12,22,1.0,0.9947,2.4232
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,18)",18,0.6148,0.579,0.4144,17.4667,15,21,1.0,0.9937,2.5454
2_CPL_C08 (GenetClassifier(C=0.8)),Leukemia,"trains-p-diff(80,20)",20,0.6552,0.6001,0.4293,18.7333,11,23,1.0,0.9937,2.4495
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,1)",1,0.9735,0.9542,0.9191,14.2,12,16,0.9576,0.928,4.6936
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,2)",2,0.8994,0.8448,0.7405,13.3,11,18,0.956,0.9213,4.5953
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,3)",3,0.8823,0.8434,0.7415,13.5333,10,16,0.9514,0.9493,5.0532
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,4)",4,0.8885,0.8314,0.7181,14.4667,11,18,0.9517,0.9427,4.8336
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,5)",5,0.8806,0.8376,0.7289,14.0667,11,16,0.9533,0.9493,5.2018
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,6)",6,0.8731,0.8205,0.7059,13.7667,11,17,0.9536,0.9413,5.2137
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,7)",7,0.8666,0.8143,0.6931,13.6667,10,16,0.9519,0.9467,5.0883
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,8)",8,0.8278,0.7645,0.6257,13.2667,10,17,0.9524,0.9333,5.1149
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,9)",9,0.8001,0.7337,0.5859,13.3,9,17,0.9536,0.9293,4.8119
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,10)",10,0.8107,0.7394,0.5926,13.8667,10,18,0.9552,0.9347,5.4573
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,12)",12,0.8087,0.7433,0.5972,13.3,9,17,0.9536,0.9413,5.0107
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,14)",14,0.8009,0.7395,0.5938,13.7,10,18,0.9538,0.9387,5.0563
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,16)",16,0.7711,0.7148,0.5635,13.2222,10,18,0.955,0.9481,4.9242
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,18)",18,0.7735,0.7137,0.5603,13.125,10,18,0.9533,0.9383,5.2143
2_CPL_C08 (GenetClassifier(C=0.8)),Liver,"trains-p-diff(140,20)",20,0.7857,0.7185,0.5683,14.0833,10,17,0.9574,0.9433,5.6324
