classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,1)",1,0.7959,0.7345,0.5876,20.3,15,26,0.9062,0.956,0.4985
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,2)",2,0.7479,0.7087,0.552,20.4,17,24,0.9043,0.9467,0.4887
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,3)",3,0.788,0.7234,0.5721,19.8,15,25,0.8921,0.976,0.4889
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,4)",4,0.7867,0.7285,0.5783,20.7,15,27,0.9017,0.9733,0.4847
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,5)",5,0.7806,0.7282,0.5763,19.8333,15,25,0.8983,0.964,0.4891
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,6)",6,0.7908,0.7406,0.5918,20.7,18,26,0.8967,0.964,0.4841
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,7)",7,0.7834,0.7285,0.5774,21.3,17,26,0.904,0.9627,0.4817
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,8)",8,0.8144,0.7433,0.595,20.4333,15,25,0.9036,0.948,0.486
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,9)",9,0.7994,0.737,0.588,19.6667,12,24,0.9019,0.9413,0.4838
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,10)",10,0.7989,0.7167,0.5644,19.7333,12,25,0.9024,0.9427,0.485
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,12)",12,0.7881,0.7303,0.5799,20.7333,15,26,0.9038,0.9373,0.485
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,14)",14,0.8176,0.7398,0.5925,19.4667,13,25,0.9083,0.932,0.495
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,16)",16,0.8005,0.7439,0.5972,20.3333,16,25,0.9042,0.9348,0.4783
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,18)",18,0.7707,0.712,0.5581,20.375,15,23,0.9071,0.9317,0.5018
"LR (LogisticRegression(C=0.0165, max_iter=100000, penalty='l1', solver='liblinear'))",Liver,"trains-p-diff(140,20)",20,0.8468,0.7656,0.623,19.7083,15,27,0.9065,0.92,0.4883
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,1)",1,0.9442,0.9187,0.8627,20.9667,16,25,0.9624,0.94,0.8206
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,2)",2,0.8969,0.8498,0.747,21.0,16,25,0.9631,0.9293,0.8694
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,3)",3,0.9085,0.8792,0.7921,20.0333,17,23,0.9576,0.9707,0.7634
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,4)",4,0.8766,0.8355,0.7304,20.3,14,23,0.9583,0.9627,0.6728
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,5)",5,0.8856,0.8459,0.745,19.7667,17,23,0.9583,0.972,0.6632
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,6)",6,0.8203,0.7875,0.6623,19.7333,15,22,0.9588,0.9747,0.6666
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,7)",7,0.8602,0.8262,0.7099,20.0,17,23,0.9586,0.968,0.7117
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,8)",8,0.8012,0.7553,0.6175,19.6333,15,26,0.96,0.9507,0.6962
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,9)",9,0.7772,0.7324,0.5915,19.9667,15,27,0.9602,0.952,0.6571
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,10)",10,0.7876,0.7495,0.6087,19.4333,14,22,0.9598,0.9533,0.7411
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,12)",12,0.7597,0.7266,0.582,20.3667,17,24,0.9602,0.9613,0.6337
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,14)",14,0.747,0.7099,0.5599,19.6,17,23,0.9607,0.9453,0.794
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,16)",16,0.7307,0.694,0.5373,20.0,18,24,0.9614,0.9541,0.7228
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,18)",18,0.7172,0.6741,0.5148,20.2917,16,25,0.9619,0.95,0.6968
"SVM (LinearSVC(C=0.036, dual=False, max_iter=100000, penalty='l1'))",Liver,"trains-p-diff(140,20)",20,0.687,0.6562,0.4937,19.7083,17,23,0.9622,0.9467,0.6604
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,1)",1,0.9215,0.8997,0.8333,20.3333,17,23,0.9667,0.9373,8.4482
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,2)",2,0.777,0.7458,0.6275,20.4333,16,24,0.9664,0.9333,7.9027
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,3)",3,0.7392,0.7068,0.5799,20.9333,15,26,0.9629,0.9547,8.022
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,4)",4,0.7616,0.7272,0.5959,20.5333,15,24,0.9624,0.956,7.8571
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,5)",5,0.7518,0.7197,0.5808,20.6,17,24,0.9638,0.9587,8.0693
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,6)",6,0.679,0.6517,0.5076,20.1333,16,24,0.9636,0.9547,7.9519
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,7)",7,0.7384,0.7041,0.5523,20.7,17,24,0.961,0.9533,8.2227
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,8)",8,0.6556,0.6261,0.4702,19.9333,16,24,0.9645,0.9347,7.801
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,9)",9,0.6191,0.584,0.4213,20.9333,16,26,0.9648,0.94,7.7971
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,10)",10,0.5999,0.5694,0.4119,20.1667,17,24,0.965,0.9333,7.7206
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,12)",12,0.5781,0.5416,0.3796,19.7,14,25,0.9648,0.948,7.776
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,14)",14,0.5879,0.5481,0.3874,19.8667,16,25,0.9652,0.9453,7.3994
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,16)",16,0.5486,0.5262,0.3684,20.4074,18,25,0.9659,0.9437,7.3975
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,18)",18,0.4927,0.4646,0.3108,19.3333,14,23,0.9655,0.9417,7.328
CPL (GenetClassifier(C=0.92)),Liver,"trains-p-diff(140,20)",20,0.4916,0.4612,0.3062,20.3333,17,24,0.9667,0.9417,7.1059
