classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"LR (LogisticRegression(C=0.097, max_iter=100000, penalty='l1', solver='liblinear'))",Renal,"trains-p-diff(120,5)",5,0.7898,0.7337,0.5849,25.2,19,34,0.8714,0.8522,0.6129
"LR (LogisticRegression(C=0.097, max_iter=100000, penalty='l1', solver='liblinear'))",Renal,"trains-p-diff(120,6)",6,0.7606,0.6955,0.54,24.5667,13,35,0.8706,0.8536,0.6146
"LR (LogisticRegression(C=0.097, max_iter=100000, penalty='l1', solver='liblinear'))",Renal,"trains-p-diff(120,7)",7,0.7486,0.7065,0.5547,25.8,16,34,0.8714,0.8478,0.6048
"LR (LogisticRegression(C=0.097, max_iter=100000, penalty='l1', solver='liblinear'))",Renal,"trains-p-diff(120,8)",8,0.7439,0.6759,0.5124,23.6333,14,34,0.8736,0.8449,0.6173
"LR (LogisticRegression(C=0.097, max_iter=100000, penalty='l1', solver='liblinear'))",Renal,"trains-p-diff(120,9)",9,0.7089,0.6336,0.4669,23.6,14,30,0.8711,0.8536,0.6069
"LR (LogisticRegression(C=0.097, max_iter=100000, penalty='l1', solver='liblinear'))",Renal,"trains-p-diff(120,10)",10,0.683,0.624,0.4596,23.4,14,31,0.8711,0.8507,0.6073
"LR (LogisticRegression(C=0.097, max_iter=100000, penalty='l1', solver='liblinear'))",Renal,"trains-p-diff(120,12)",12,0.6459,0.588,0.4191,23.7667,15,29,0.8678,0.8652,0.6053
"LR (LogisticRegression(C=0.097, max_iter=100000, penalty='l1', solver='liblinear'))",Renal,"trains-p-diff(120,14)",14,0.5847,0.538,0.375,22.963,14,28,0.8682,0.8647,0.6051
"LR (LogisticRegression(C=0.097, max_iter=100000, penalty='l1', solver='liblinear'))",Renal,"trains-p-diff(120,16)",16,0.5564,0.4959,0.3364,23.125,14,30,0.8722,0.8551,0.609
"LR (LogisticRegression(C=0.097, max_iter=100000, penalty='l1', solver='liblinear'))",Renal,"trains-p-diff(120,18)",18,0.5176,0.4713,0.3112,23.9048,15,32,0.8683,0.8696,0.6103
"LR (LogisticRegression(C=0.097, max_iter=100000, penalty='l1', solver='liblinear'))",Renal,"trains-p-diff(120,20)",20,0.5077,0.4535,0.2983,22.8095,14,32,0.8671,0.8778,0.6144
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,1)",1,0.8723,0.8422,0.7394,26.1333,19,34,0.8886,0.8928,0.6305
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,2)",2,0.7957,0.7515,0.6162,26.3667,18,34,0.8894,0.8797,0.6531
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,3)",3,0.7765,0.7275,0.584,27.1333,20,33,0.8906,0.8768,0.6687
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,4)",4,0.7771,0.7377,0.596,27.0,18,34,0.8914,0.8783,0.6804
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,5)",5,0.7205,0.686,0.5324,28.0,21,36,0.8883,0.8594,0.6665
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,6)",6,0.6943,0.6506,0.4911,27.0667,21,40,0.8903,0.8594,0.7119
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,7)",7,0.6845,0.6358,0.4745,27.2667,19,35,0.8942,0.8522,0.6212
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,8)",8,0.6546,0.6198,0.4553,28.6,22,34,0.8933,0.8507,0.6437
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,9)",9,0.6088,0.5817,0.4167,27.0,22,32,0.8928,0.858,0.7062
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,10)",10,0.6062,0.5773,0.4144,27.5,23,32,0.8931,0.8507,0.6321
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,12)",12,0.5619,0.532,0.3692,26.2333,20,34,0.8939,0.8725,0.6831
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,14)",14,0.537,0.503,0.3453,25.1111,20,32,0.8935,0.8696,0.7086
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,16)",16,0.5173,0.4917,0.3327,25.9167,22,31,0.8941,0.8605,0.6948
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,18)",18,0.4971,0.4725,0.3126,26.9048,23,33,0.8893,0.8737,0.6375
"SVM (LinearSVC(C=0.04, dual=False, max_iter=100000, penalty='l1'))",Renal,"trains-p-diff(120,20)",20,0.481,0.4464,0.2953,27.4762,21,32,0.8909,0.8799,0.6556
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,1)",1,0.8686,0.8367,0.7325,26.1667,18,32,0.8625,0.8783,5.9551
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,2)",2,0.8495,0.805,0.6828,25.7667,19,31,0.8644,0.8667,5.8627
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,3)",3,0.8012,0.7662,0.628,24.7333,20,31,0.8653,0.8638,5.5028
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,4)",4,0.7774,0.7436,0.5986,24.7,19,29,0.8644,0.8623,6.2936
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,5)",5,0.7029,0.6722,0.5166,25.1,20,31,0.8658,0.8493,5.7943
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,6)",6,0.6794,0.6451,0.4809,24.6667,19,31,0.8678,0.8464,6.049
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,7)",7,0.6654,0.639,0.4749,24.0333,15,28,0.8681,0.8377,5.4047
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,8)",8,0.6555,0.6298,0.4648,25.6333,21,32,0.8694,0.8362,5.6891
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,9)",9,0.6185,0.5872,0.4216,24.7,18,30,0.8669,0.8435,5.6131
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,10)",10,0.603,0.5609,0.3943,24.9,18,32,0.8664,0.8464,5.5782
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,12)",12,0.5763,0.5409,0.3761,25.1333,20,31,0.8656,0.858,5.749
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,14)",14,0.5747,0.5343,0.37,24.2222,16,32,0.8648,0.8583,5.8008
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,16)",16,0.5402,0.5026,0.3373,25.25,19,30,0.8684,0.8514,5.6815
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,18)",18,0.4942,0.4677,0.3081,24.5238,18,29,0.8655,0.8696,5.937
CPL (GenetClassifier(C=0.81)),Renal,"trains-p-diff(120,20)",20,0.4742,0.4454,0.2897,24.7619,20,30,0.8639,0.8696,5.8547
