classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,16)",16,0.8728,0.7637,0.6253,20.3889,13,27,0.9979,0.9974,0.4764
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,18)",18,0.8479,0.7776,0.6405,21.1333,15,28,0.9992,0.9937,0.4761
"LR (LogisticRegression(C=0.043, max_iter=100000, penalty='l1', solver='liblinear'))",Leukemia,"trains-p-diff(80,20)",20,0.9015,0.751,0.6106,20.0667,13,29,1.0,0.9905,0.4777
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,1)",1,0.9648,0.9413,0.8951,19.3,16,21,1.0,1.0,0.5478
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,2)",2,0.9606,0.9306,0.874,19.4333,17,22,1.0,1.0,0.5387
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,3)",3,0.9289,0.8992,0.8211,20.1,16,23,1.0,0.9984,0.5598
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,4)",4,0.9107,0.8795,0.7929,19.2,17,23,1.0,1.0,0.5969
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,5)",5,0.8779,0.8353,0.7298,19.9333,17,24,1.0,0.9984,0.5701
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,6)",6,0.8695,0.838,0.7313,20.4,16,23,1.0,1.0,0.6615
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,7)",7,0.8572,0.8278,0.7153,20.1333,16,24,1.0,1.0,0.5957
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,8)",8,0.8614,0.837,0.7293,20.8,17,24,1.0,1.0,0.5916
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,9)",9,0.8063,0.7694,0.6338,21.6296,17,25,1.0,1.0,0.5509
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,10)",10,0.8363,0.7845,0.6525,21.3333,16,26,1.0,0.9982,0.5676
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,12)",12,0.7846,0.735,0.5845,21.0476,16,27,1.0,1.0,0.5698
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,14)",14,0.8096,0.7901,0.6601,21.0,19,24,1.0,1.0,0.6095
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,16)",16,0.8077,0.7595,0.6155,21.5,17,25,1.0,1.0,0.6328
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,18)",18,0.7486,0.7109,0.556,21.2,18,25,1.0,1.0,0.581
"SVM (LinearSVC(C=0.14, dual=False, max_iter=100000, penalty='l1'))",Leukemia,"trains-p-diff(80,20)",20,0.771,0.701,0.5416,21.0667,15,25,1.0,1.0,0.6101
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,1)",1,0.9043,0.889,0.8207,19.7,16,21,1.0,1.0,2.572
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,2)",2,0.8912,0.8643,0.7724,19.3667,15,22,1.0,1.0,2.2823
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,3)",3,0.7812,0.7538,0.6236,19.5,15,24,1.0,0.9984,2.3831
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,4)",4,0.8262,0.8025,0.6878,19.9,17,23,1.0,1.0,2.3472
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,5)",5,0.713,0.6771,0.5242,19.2333,13,23,1.0,0.9968,2.2224
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,6)",6,0.7112,0.6713,0.5177,18.5,15,23,1.0,0.9952,2.3162
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,7)",7,0.686,0.6568,0.5,18.2667,14,21,1.0,0.9984,2.4674
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,8)",8,0.6763,0.647,0.4891,18.7,16,22,1.0,0.9968,2.2557
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,9)",9,0.6435,0.6154,0.4534,18.2222,15,21,1.0,0.9982,2.4166
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,10)",10,0.653,0.6195,0.4642,18.5185,14,24,1.0,0.9982,2.5273
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,12)",12,0.5997,0.5711,0.4119,19.1429,16,22,1.0,0.9955,2.6379
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,14)",14,0.6205,0.5809,0.4183,18.3889,14,22,1.0,0.9974,2.3783
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,16)",16,0.5808,0.5569,0.3941,18.5556,16,21,1.0,0.9974,2.466
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,18)",18,0.5585,0.5251,0.3682,17.9333,15,20,1.0,0.9937,2.6371
CPL (GenetClassifier(C=0.95)),Leukemia,"trains-p-diff(80,20)",20,0.5519,0.5228,0.3598,19.8,17,23,1.0,1.0,2.46
