classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,8)",8,0.9594,0.9048,0.826,20.4,13,23,1.0,0.9972,0.6422
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,9)",9,0.9433,0.8926,0.807,20.9,13,26,0.9998,0.9958,0.6417
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,10)",10,0.9457,0.8912,0.8045,20.8667,14,26,1.0,0.9958,0.6448
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,12)",12,0.9345,0.9006,0.8218,21.1,18,23,1.0,0.9972,0.6424
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,14)",14,0.9359,0.864,0.7608,20.1,14,24,1.0,0.9958,0.6517
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,16)",16,0.9511,0.8997,0.8189,21.0667,17,24,1.0,0.9944,0.6417
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,18)",18,0.9395,0.8951,0.8114,21.4,15,25,1.0,0.9944,0.641
"LR (LogisticRegression(C=0.07, max_iter=100000, penalty='l1', solver='liblinear'))",Colorectal,"trains-p-diff(170,20)",20,0.936,0.8722,0.7746,20.2963,14,24,1.0,0.9938,0.6412
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,1)",1,0.9505,0.9184,0.8547,20.1,18,27,1.0,1.0,0.6432
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,2)",2,0.9038,0.8703,0.7792,20.1667,17,24,1.0,0.9986,0.6586
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,3)",3,0.8873,0.8537,0.757,19.7,17,25,1.0,1.0,0.6142
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,4)",4,0.8913,0.8483,0.7533,19.3667,15,27,1.0,1.0,0.6558
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,5)",5,0.8915,0.8375,0.7327,20.0333,15,26,1.0,1.0,0.6462
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,6)",6,0.8931,0.8376,0.7328,19.6,15,24,1.0,1.0,0.6156
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,7)",7,0.8834,0.8369,0.7283,19.6333,13,26,1.0,1.0,0.6487
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,8)",8,0.8349,0.7826,0.6508,19.5,15,25,1.0,0.9986,0.6084
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,9)",9,0.8135,0.7708,0.6376,20.1,16,29,1.0,1.0,0.6541
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,10)",10,0.8382,0.8028,0.6805,19.9667,16,24,1.0,0.9986,0.6353
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,12)",12,0.8087,0.7684,0.6348,20.1667,16,23,1.0,1.0,0.6238
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,14)",14,0.7978,0.7475,0.6079,19.5667,15,26,1.0,0.9986,0.6339
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,16)",16,0.8043,0.7614,0.6285,19.8,16,24,1.0,1.0,0.632
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,18)",18,0.7803,0.7438,0.604,20.1,17,24,1.0,1.0,0.6056
"SVM (LinearSVC(C=0.35, dual=False, max_iter=100000, penalty='l1'))",Colorectal,"trains-p-diff(170,20)",20,0.7677,0.7339,0.5899,20.2222,16,23,1.0,1.0,0.6096
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,1)",1,0.981,0.9744,0.9529,19.6,16,22,1.0,1.0,3.9468
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,2)",2,0.8846,0.8657,0.7938,19.4667,16,22,1.0,0.9972,4.0639
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,3)",3,0.8448,0.818,0.7266,19.9,17,24,1.0,1.0,4.0269
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,4)",4,0.8251,0.805,0.6956,19.9667,17,22,1.0,0.9986,3.9957
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,5)",5,0.8122,0.7867,0.6752,19.9333,14,23,1.0,0.9986,3.9227
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,6)",6,0.8458,0.8259,0.7328,20.3667,19,24,1.0,1.0,3.9974
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,7)",7,0.8053,0.7779,0.665,20.4333,17,25,1.0,0.9986,3.888
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,8)",8,0.729,0.6968,0.555,19.7333,16,24,1.0,0.9972,4.0882
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,9)",9,0.6856,0.6556,0.5034,19.7667,17,24,1.0,0.9972,4.0343
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,10)",10,0.7098,0.6629,0.511,20.1,14,25,1.0,0.9986,4.1255
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,12)",12,0.686,0.6425,0.4846,19.8,14,24,1.0,0.9972,4.0642
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,14)",14,0.5997,0.5739,0.412,19.7667,17,25,1.0,0.9958,4.0627
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,16)",16,0.6286,0.5929,0.4309,19.5667,16,24,1.0,0.9972,4.0443
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,18)",18,0.616,0.5769,0.4198,19.0,15,24,1.0,0.9958,3.8712
CPL (GenetClassifier(C=0.95)),Colorectal,"trains-p-diff(170,20)",20,0.6006,0.5695,0.4086,19.4815,16,22,1.0,0.9969,4.1945
