classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,12)",12,0.4612,0.434,0.2837,24.5238,21,29,0.9988,0.9275,0.6174
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,14)",14,0.3961,0.3709,0.2337,24.1667,20,29,0.9979,0.9058,0.6165
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,16)",16,0.3719,0.3491,0.2169,23.2778,18,28,0.9986,0.9058,0.6989
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,18)",18,0.3559,0.332,0.2026,24.2667,20,30,0.9992,0.8986,0.6137
"SVM (LinearSVC(C=0.1, dual=False, max_iter=100000, penalty='l1'))",Throat,"trains-p-diff(80,20)",20,0.3441,0.316,0.188,23.9333,20,29,0.9983,0.8986,0.6518
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,1)",1,0.93,0.923,0.873,23.9,22,26,0.9804,0.8826,3.6574
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,2)",2,0.6946,0.6748,0.541,23.7667,21,28,0.9825,0.8667,3.6636
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,3)",3,0.6603,0.6358,0.4809,23.4333,20,28,0.98,0.8768,3.6965
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,4)",4,0.659,0.6341,0.4726,23.6667,20,28,0.9846,0.8739,3.5967
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,5)",5,0.5447,0.5279,0.3754,23.1333,18,27,0.9854,0.8754,3.6804
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,6)",6,0.5189,0.4918,0.3358,23.2667,16,28,0.985,0.8667,3.8495
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,7)",7,0.5233,0.4995,0.3421,23.7,19,27,0.9854,0.8696,3.7803
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,8)",8,0.4878,0.4648,0.3138,23.9333,19,27,0.9817,0.887,3.7253
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,9)",9,0.4464,0.4187,0.2694,22.6296,17,27,0.9843,0.8824,3.7831
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,10)",10,0.4295,0.4112,0.2683,23.8519,20,29,0.9843,0.8808,3.7826
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,12)",12,0.4018,0.3848,0.2428,24.619,22,30,0.9821,0.9317,3.9483
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,14)",14,0.3568,0.3396,0.2108,24.6667,19,28,0.9854,0.913,3.9502
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,16)",16,0.3607,0.3373,0.2053,23.9444,20,29,0.9861,0.9155,3.8618
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,18)",18,0.3026,0.2879,0.1697,24.0667,20,30,0.9858,0.9101,3.7131
CPL (GenetClassifier(C=0.93)),Throat,"trains-p-diff(80,20)",20,0.3101,0.2882,0.1708,24.2667,20,30,0.98,0.9159,3.771
